computed_slot,Th-morning,Th-afternoon,Th-evening,Fr-morning,Fr-afternoon,Sa-morning,Sa-afternoon,Su-morning
1,"1, 4",41,"2936, 2953",2987,"2993, 3027",3039,"3083, 3088","3111, 3148"
2,5,45,2952,2992,"3008, 3052",3049,"3084, 3123","3112, 3124, 3178"
3,"10, 21","47, 2933","2956, 2986",2994,3022,3060,"3093, 3125",3143
4,12,48,2958,"2995, 3013","3028, 3056","3065, 3068","3114, 3129","3144, 3159"
5,13,49,2959,2996,3030,"3066, 3094",3117,"3155, 3167"
6,15,51,2961,3012,3031,"3067, 3102",3122,"3158, 3186"
7,"18, 57",54,2967,3015,3040,3070,3128,3164
8,"20, 34",2927,2971,3019,3058,"3071, 3073","3130, 3132",3168
9,27,,"2972, 2988",2979,3048,3077,"3131, 3145","3165, 2929"
10,7,2943,2973,2980,3057,"3078, 3081",3133,3099
11,8,2944,2975,2997,2990,3096,3140,3154
12,14,42,2976,3004,3032,3106,3153,3110
13,24,53,2948,3005,2998,3034,"3098, 3142",3156
14,16,2931,2951,3020,3037,3036,3085,3166
15,17,2935,2983,3023,3038,3074,3137,3157
16,38,2942,2985,3026,3041,3105,3075,3160
17,28,2926,2949,2999,3029,3079,3087,3161
18,31,2928,2957,3007,3042,3053,3113,3169
19,33,2930,2968,3006,3046,3062,3120,3170
20,2,2932,2977,3011,3051,3063,3121,3174
21,3,43,2984,3017,3009,3091,"3138, 3139",
22,9,44,2954,3018,3033,3090,3072,
23,25,46,2955,3021,3045,3097,3080,
24,6,50,2962,3025,3047,3107,3100,
25,11,56,2964,2974,3064,3082,3108,
26,22,2940,2965,3002,3035,3101,3126,
27,23,39,2966,3000,3044,3086,3146,
28,26,40,2969,3003,3055,,,
29,30,55,2938,,3061,,,
30,35,2934,2950,,3014,,,
31,37,2947,2978,,3024,,,
32,19,52,2989,,,,,
33,29,2946,2963,,,,,
34,32,,,,,,,
35,36,,,,,,,
